stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
8880, 4659, "Sutri", , 56.3127205, 26.5368471, 8880, , , , , 
8881, 4659, "Sutri", , 56.3124573, 26.5376247, 8881, , , , , 
8886, 4662, "Maskvina", , 56.3020932, 26.6386556, 8886, , , , , 
8887, 4662, "Maskvina", , 56.3017406, 26.6392919, 8887, , , , , 
8892, 4665, "Žagatas", , 57.5593781, 22.4614941, 8892, , , , , 
8893, 4665, "Žagatas", , 57.5593934, 22.4614219, 8893, , , , , 
8894, 4668, "Spāre", , 57.2197079, 22.2648805, 8894, , , , , 
8895, 4669, "Puriņi", , 57.0498410, 22.5416440, 8895, , , , , 
8896, 4670, "Ievkalni", , 57.0526580, 22.5068950, 8896, , , , , 
8898, 4673, "Jaunciems", , 57.3901377, 22.7531992, 8898, , , , , 
8899, 4675, "Jaunpagasts", , 57.1289388, 22.6429493, 8899, , , , , 
8900, 4678, "Kalni", , 57.2340805, 22.7841410, 8900, , , , , 
8901, 4680, "Oktes pagrieziens", , 57.2469876, 22.8173905, 8901, , , , , 
8902, 4682, "Pļavu skola", , 57.2515243, 22.8672464, 8902, , , , , 
8903, 4683, "Pļavas", , 57.2593853, 22.8919541, 8903, , , , , 
8904, 4684, "Jādekši", , 57.2652487, 22.9590769, 8904, , , , , 
8905, 4685, "Ķūļi", , 57.2719127, 23.0346770, 8905, , , , , 
8906, 4687, "Krievrags", , 57.2894201, 23.0585337, 8906, , , , , 
8907, 4689, "Alksnāji", , 57.3141451, 23.0454737, 8907, , , , , 
8908, 4690, "Ķipati", , 57.3331873, 23.0603946, 8908, , , , , 
8909, 4691, "Pienotava", , 57.3434947, 23.0877493, 8909, , , , , 
8912, 4694, "Lielvirbi", , 57.0855095, 22.5662441, 8912, , , , , 
8915, 4697, "Ezerkalni", , 57.2172644, 22.6053167, 8915, , , , , 
8916, 4698, "Lindskalni", , 57.2046859, 22.6139052, 8916, , , , , 
8917, 4699, "Ērgļukrogs", , 57.1860060, 22.6299469, 8917, , , , , 
8918, 4701, "Pastende", , 57.2265150, 22.5220960, 8918, , , , , 
8919, 4703, "Sukturi", , 57.2414630, 22.6261053, 8919, , , , , 
8921, 4705, "Zūras", , 57.3697660, 22.6459517, 8921, , , , , 
8922, 4706, "Saslaukas", , 57.3601749, 22.6681538, 8922, , , , , 
8923, 4707, "Nogales pagrieziens", , 57.3502214, 22.7083733, 8923, , , , , 
8924, 4708, "Sniķeri", , 57.3396435, 22.7379346, 8924, , , , , 
8925, 4709, "Ārsti", , 57.3220696, 22.7515979, 8925, , , , , 
8928, 4714, "Oktes pienotava", , 57.2697742, 22.8463922, 8928, , , , , 
8929, 4714, "Oktes pienotava", , 57.2693820, 22.8491186, 8929, , , , , 
8936, 4721, "Pobuži", , 57.3718341, 22.4440935, 8936, , , , , 
8937, 4723, "Lielsalas", , 57.3715114, 22.3698950, 8937, , , , , 
8938, 4724, "Dārte", , 57.3484918, 22.7917037, 8938, , , , , 
8939, 4726, "Nogale", , 57.3716015, 22.7341743, 8939, , , , , 
8940, 4727, "Bīlavu pagrieziens", , 57.3765583, 22.7349729, 8940, , , , , 
8941, 4730, "Bīlavas", , 57.4185770, 22.7002467, 8941, , , , , 
8942, 4732, "Lubezere", , 57.4141624, 22.6174616, 8942, , , , , 
8943, 1748, "Pāce", , 56.3185525, 24.1958095, 8943, , , , , 
8944, 4733, "Pāce", , 57.4970819, 22.2788173, 8944, , , , , 
8945, 1748, "Pāce", , 56.3182227, 24.1955410, 8945, , , , , 
8946, 4733, "Pāce", , 57.4967911, 22.2782196, 8946, , , , , 
8947, 4735, "Ozollapas", , 57.5051654, 22.3240071, 8947, , , , , 
8948, 4735, "Ozollapas", , 57.5052658, 22.3239658, 8948, , , , , 
8951, 4737, "Āži", , 57.5518376, 22.3594424, 8951, , , , , 
8954, 4739, "Zaķi", , 57.5748192, 22.3916313, 8954, , , , , 
8955, 4739, "Zaķi", , 57.5754208, 22.3923677, 8955, , , , , 
8956, 4740, "Vecvagari", , 57.5859892, 22.4068791, 8956, , , , , 
8961, 4743, "Vīdale", , 57.6068220, 22.4476308, 8961, , , , , 
8964, 4745, "Brieži", , 57.6107616, 22.4796755, 8964, , , , , 
8967, 4747, "Ezeri", , 57.6216281, 22.5579311, 8967, , , , , 
8968, 4748, "Dreiliņu veikals", , 56.9435421, 24.2503168, 8968, , , , , 
8969, 4748, "Dreiliņu veikals", , 56.9434090, 24.2509120, 8969, , , , , 
8970, 4751, "Ulbroka", , 56.9445490, 24.2812430, 8970, , , , , 
8971, 4751, "Ulbroka", , 56.9447010, 24.2795260, 8971, , , , , 
8975, 4754, "Filču rūpnīca", , 56.9456120, 24.3125928, 8975, , , , , 
8976, 4754, "Filču rūpnīca", , 56.9456121, 24.3136170, 8976, , , , , 
8977, 4755, "Saveļi", , 56.9462311, 24.3306118, 8977, , , , , 
8978, 4755, "Saveļi", , 56.9461193, 24.3312182, 8978, , , , , 
8979, 4758, "Juglas mežniecība", , 56.9437000, 24.3781675, 8979, , , , , 
8980, 4758, "Juglas mežniecība", , 56.9432483, 24.3792484, 8980, , , , , 
8981, 4759, "Dāvidi", , 56.9408159, 24.3935511, 8981, , , , , 
8982, 4759, "Dāvidi", , 56.9407200, 24.3947284, 8982, , , , , 
8983, 4760, "Zaķu pagrieziens", , 56.9413558, 24.4054703, 8983, , , , , 
8984, 4760, "Zaķu pagrieziens", , 56.9413195, 24.4063599, 8984, , , , , 
8985, 4761, "Bajāri", , 56.9544863, 24.5582205, 8985, , , , , 
8986, 4761, "Bajāri", , 56.9545269, 24.5611823, 8986, , , , , 
8992, 4764, "Institūts", , 57.1492715, 24.8877121, 8992, , , , , 
8993, 4765, "Vondi", , 56.3605363, 27.9894635, 8993, , , , , 
8994, 4765, "Vondi", , 56.3603666, 27.9896421, 8994, , , , , 
8997, 4767, "Āvas", , 56.9297787, 24.3154255, 8997, , , , , 
8998, 4767, "Āvas", , 56.9296993, 24.3153111, 8998, , , , , 
8999, 4768, "Skola", , 56.9275169, 24.3220857, 8999, , , , , 
9000, 4768, "Skola", , 56.9275419, 24.3216098, 9000, , , , , 
9003, 4771, "Saurieši", , 56.9131419, 24.3636789, 9003, , , , , 
9004, 4771, "Saurieši", , 56.9122972, 24.3665860, 9004, , , , , 
9005, 4772, "Avoti", , 56.9094037, 24.3802706, 9005, , , , , 
9006, 4772, "Avoti", , 56.9085890, 24.3817859, 9006, , , , , 
9007, 4773, "Tēraudi", , 56.9040621, 24.3932106, 9007, , , , , 
9010, 4775, "Bunči", , 56.8996404, 24.4172384, 9010, , , , , 
9011, 4775, "Bunči", , 56.8992478, 24.4194655, 9011, , , , , 
9012, 4777, "Dārziņi", , 57.2413616, 24.4387369, 9012, , , , , 
9013, 4777, "Dārziņi", , 57.2408879, 24.4398272, 9013, , , , , 
9014, 4784, "Druškas", , 57.2353713, 24.5453494, 9014, , , , , 
9015, 4787, "Turaidas skola", , 57.2307078, 24.8512810, 9015, , , , , 
9016, 4787, "Turaidas skola", , 57.2302834, 24.8509149, 9016, , , , , 
9021, 4790, "Turaida", , 57.1869215, 24.8467461, 9021, , , , , 
9022, 4790, "Turaida", , 57.1869311, 24.8465215, 9022, , , , , 
9027, 4793, "GNP", , 57.1611902, 24.8513192, 9027, , , , , 
9028, 4793, "GNP", , 57.1613918, 24.8513789, 9028, , , , , 
9029, 4794, "Mālpils iela", , 57.1446284, 24.8589317, 9029, , , , , 
9030, 4794, "Mālpils iela", , 57.1440893, 24.8589993, 9030, , , , , 
9031, 4795, "Dzelzmačas", , 57.1323948, 24.8966694, 9031, , , , , 
9032, 4795, "Dzelzmačas", , 57.1328054, 24.8961769, 9032, , , , , 
9035, 4797, "Jūdaži", , 57.1089163, 24.9240317, 9035, , , , , 
9036, 4797, "Jūdaži", , 57.1082217, 24.9243791, 9036, , , , , 
9043, 4801, "Jaunbūņas", , 57.0713137, 24.9110040, 9043, , , , , 
9044, 4801, "Jaunbūņas", , 57.0698458, 24.9120911, 9044, , , , , 
9049, 4804, "Bukas", , 57.0332490, 24.9331176, 9049, , , , , 
9050, 4804, "Bukas", , 57.0334566, 24.9326621, 9050, , , , , 
9063, 4814, "Klaņģu kalns", , 56.8147995, 24.2784137, 9063, , , , , 
9064, 4814, "Klaņģu kalns", , 56.8149500, 24.2801338, 9064, , , , , 
9065, 4815, "Klaņģi", , 56.8181491, 24.2919952, 9065, , , , , 
