service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
82214, 0, 0, 1, 0, 0, 0, 0, 20210320, 20210331
82215, 0, 0, 1, 0, 0, 0, 0, 20210320, 20210331
82216, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210331
82222, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82223, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210331
82224, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210331
82225, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82230, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210331
82231, 0, 0, 0, 0, 1, 0, 1, 20210319, 20210331
82232, 1, 1, 1, 1, 0, 1, 0, 20210319, 20210331
82239, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210331
82240, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210331
82247, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82248, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82249, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82250, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82255, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82256, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82257, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82258, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210331
82265, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210331
82266, 0, 0, 0, 1, 0, 0, 0, 20210319, 20210331
82267, 0, 0, 0, 1, 0, 0, 0, 20210319, 20210331
88071, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210708
88072, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210708
88073, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210708
88074, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210708
88079, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210708
88080, 1, 0, 0, 0, 0, 0, 0, 20210319, 20210708
88081, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210708
88082, 0, 0, 0, 0, 0, 1, 1, 20210319, 20210708
88083, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210708
88392, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88397, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210430
88398, 0, 0, 0, 0, 0, 1, 0, 20210501, 20210630
88399, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88400, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210430
88405, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88406, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88407, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88408, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88414, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88415, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88416, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88417, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88422, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88423, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88424, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88425, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88430, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88431, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88432, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88433, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88434, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88439, 0, 0, 0, 0, 0, 0, 1, 20210501, 20210630
88440, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210430
88441, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88442, 0, 0, 0, 0, 0, 0, 1, 20210501, 20210630
88447, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88448, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88449, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88450, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88455, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88456, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88457, 0, 0, 0, 0, 1, 0, 0, 20210319, 20210630
88458, 0, 0, 0, 0, 1, 0, 0, 20210319, 20210630
88459, 1, 0, 0, 0, 1, 0, 0, 20210601, 20210630
88464, 0, 1, 1, 1, 0, 0, 0, 20210407, 20210531
88465, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88466, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88467, 1, 1, 1, 1, 0, 0, 0, 20210319, 20210630
88472, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88475, 1, 0, 0, 0, 0, 0, 0, 20210319, 20210630
88480, 0, 0, 0, 0, 1, 0, 0, 20210601, 20210630
88491, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88492, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88497, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88498, 0, 0, 0, 0, 0, 0, 1, 20210319, 20210630
88499, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88500, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88523, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88525, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88531, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88532, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88533, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88534, 1, 1, 1, 1, 1, 0, 0, 20210407, 20210531
88539, 1, 1, 1, 1, 1, 1, 0, 20210319, 20210630
88540, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88541, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88542, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88547, 1, 1, 1, 1, 1, 0, 0, 20210319, 20210630
88548, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88549, 0, 0, 0, 0, 0, 1, 0, 20210319, 20210630
88550, 0, 1, 0, 1, 0, 0, 0, 20210319, 20210630
88556, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
88557, 1, 1, 1, 1, 1, 1, 1, 20210319, 20210630
