route_id, service_id, trip_id, trip_headsign, trip_short_name, direction_id, block_id, shape_id, wheelchair_accessible, bikes_allowed
5501004, 126781, 126781, , , , , 79562, , 
5501007, 126804, 126804, , , , , 79612, , 
5501392, 126827, 126827, , , , , 80778, , 
5501437, 126844, 126844, , , , , 81241, , 
5501439, 126867, 126867, , , , , 81249, , 
5501496, 126910, 126910, , , , , 80266, , 
1040760, 127113, 127113, , , , , 80709, , 
1040802, 127136, 127136, , , , , 80263, , 
1041011, 127153, 127153, , , , , 79768, , 
2100226, 127654, 127654, , , , , 82003, , 
2100226, 127677, 127677, , , , , 80898, , 
2100244, 127717, 127717, , , , , 81040, , 
2100244, 127737, 127737, , , , , 80756, , 
2100391, 127800, 127800, , , , , 81470, , 
2101072, 127826, 127826, , , , , 79827, , 
2101075, 127846, 127846, , , , , 80348, , 
2101087, 127886, 127886, , , , , 79847, , 
2101450, 127929, 127929, , , , , 80630, , 
5501575, 128988, 128988, , , , , 79947, , 
5501575, 129008, 129008, , , , , 79799, , 
5501375, 129011, 129011, , , , , 82184, , 
5501465, 129074, 129074, , , , , 81251, , 
2100230, 129234, 129234, , , , , 81026, , 
6600561, 130133, 130133, , , , , 81856, , 
6600811, 130233, 130233, , , , , 81875, , 
6600175, 130282, 130282, , , , , 81886, , 
6601365, 130339, 130339, , , , , 80383, , 
6600567, 130382, 130382, , , , , 80533, , 
6600657, 130402, 130402, , , , , 81913, , 
6600571, 130422, 130422, , , , , 80562, , 
6600358, 130442, 130442, , , , , 81416, , 
6600377, 130462, 130462, , , , , 81538, , 
6600383, 130465, 130465, , , , , 81539, , 
6601504, 130508, 130508, , , , , 80198, , 
6601504, 130525, 130525, , , , , 81812, , 
6601504, 130531, 130531, , , , , 80161, , 
6601334, 130548, 130548, , , , , 81823, , 
6600166, 132174, 132174, , , , , 80296, , 
6600168, 132191, 132191, , , , , 81864, , 
2100249, 132277, 132277, , , , , 79777, , 
6200049, 132606, 132606, , , , , 80153, , 
6201200, 136937, 136937, , , , , 82727, , 
2301590, 137040, 137040, , , , , , , 
2301590, 137083, 137083, , , , , , , 
2301590, 137856, 137856, , , , , , , 
1441599, 137996, 137996, , , , , , , 
1041255, 138019, 138019, , , , , 83131, , 
6201241, 138334, 138334, , , , , 88871, , 
6601365, 138474, 138474, , , , , , , 
6200417, 141743, 141743, , , , , 89358, , 
6200467, 141763, 141763, , , , , 89224, , 
6200498, 141783, 141783, , , , , 89368, , 
1041256, 141892, 141892, , , , , 84051, , 
1041256, 141909, 141909, , , , , 83766, , 
1041258, 141932, 141932, , , , , 84093, , 
1041259, 141952, 141952, , , , , 83843, , 
1041259, 141955, 141955, , , , , 83844, , 
1041259, 141975, 141975, , , , , 83795, , 
1041261, 141992, 141992, , , , , 83852, , 
1041261, 141995, 141995, , , , , 83803, , 
1041261, 142015, 142015, , , , , 83954, , 
1041261, 142018, 142018, , , , , 83860, , 
1041233, 142061, 142061, , , , , 83963, , 
1041233, 142078, 142078, , , , , 83822, , 
6201330, 142241, 142241, , , , , 84851, , 
6201188, 142284, 142284, , , , , 86791, , 
6201353, 142324, 142324, , , , , 86977, , 
6200537, 142387, 142387, , , , , 87519, , 
5501216, 142410, 142410, , , , , 83410, , 
5501216, 142433, 142433, , , , , 83689, , 
5501218, 142450, 142450, , , , , 83537, , 
5501238, 142493, 142493, , , , , 83979, , 
5501230, 142516, 142516, , , , , 84061, , 
5501239, 142556, 142556, , , , , 83838, , 
5901335, 142602, 142602, , , , , 85332, , 
5900144, 142619, 142619, , , , , 85676, , 
5900147, 142642, 142642, , , , , 85597, , 
1800104, 142685, 142685, , , , , 85786, , 
1800117, 142725, 142725, , , , , 86172, , 
1800130, 142825, 142825, , , , , 86472, , 
6700935, 142888, 142888, , , , , 84424, , 
6700957, 142951, 142951, , , , , 87160, , 
6700438, 142991, 142991, , , , , 86297, , 
6700340, 143014, 143014, , , , , 87981, , 
6700340, 143017, 143017, , , , , 87983, , 
6700945, 143034, 143034, , , , , 85366, , 
6200798, 143057, 143057, , , , , 84043, , 
2100636, 143117, 143117, , , , , 83489, , 
2100636, 143143, 143143, , , , , 83437, , 
2101503, 143183, 143183, , , , , 83560, , 
2101503, 143226, 143226, , , , , 83625, , 
2100621, 143266, 143266, , , , , 83734, , 
6100392, 143704, 143704, , , , , 87548, , 
6100445, 143724, 143724, , , , , 87551, , 
6100420, 143744, 143744, , , , , 88399, , 
1040538, 144222, 144222, , , , , 86422, , 
1040538, 144225, 144225, , , , , 86423, , 
1040538, 144245, 144245, , , , , 86432, , 
4301038, 144531, 144531, , , , , 86553, , 
4301399, 144617, 144617, , , , , 87307, , 
4301051, 144634, 144634, , , , , 88552, , 
4300545, 144657, 144657, , , , , 87412, , 
4301054, 144680, 144680, , , , , 87318, , 
4301057, 144700, 144700, , , , , 88188, , 
4301060, 144723, 144723, , , , , 86071, , 
4301064, 144763, 144763, , , , , 87344, , 
4300320, 144826, 144826, , , , , 87437, , 
4300394, 144849, 144849, , , , , 88479, , 
1701101, 144912, 144912, , , , , 84804, , 
1701413, 145072, 145072, , , , , 88117, , 
1700404, 145158, 145158, , , , , 88339, , 
6200764, 145198, 145198, , , , , 84447, , 
6200972, 145221, 145221, , , , , 84453, , 
6200683, 145241, 145241, , , , , 84420, , 
6200603, 145264, 145264, , , , , 84648, , 
6200715, 145281, 145281, , , , , 86372, , 
6200798, 145304, 145304, , , , , 84889, , 
6200921, 145327, 145327, , , , , 85181, , 
6200631, 145367, 145367, , , , , 85253, , 
6100329, 145696, 145696, , , , , 86869, , 
6100335, 145699, 145699, , , , , 86871, , 
6100343, 145719, 145719, , , , , 87979, , 
6100030, 145739, 145739, , , , , 87780, , 
6200971, 145845, 145845, , , , , 84324, , 
6200974, 145888, 145888, , , , , 84480, , 
6200045, 145931, 145931, , , , , 84937, , 
6201517, 146177, 146177, , , , , 85363, , 
6201289, 146237, 146237, , , , , 85159, , 
6201279, 146260, 146260, , , , , 85668, , 
6201281, 146300, 146300, , , , , 85674, , 
6200006, 146323, 146323, , , , , 87820, , 
2100676, 146386, 146386, , , , , 84483, , 
2100579, 146429, 146429, , , , , 84561, , 
2101098, 146492, 146492, , , , , 86009, , 
6201447, 146715, 146715, , , , , 86807, , 
6200058, 146738, 146738, , , , , 88057, , 
6200308, 146841, 146841, , , , , 87811, , 
6201490, 146927, 146927, , , , , 84476, , 
2200615, 146950, 146950, , , , , 84838, , 
2200224, 146970, 146970, , , , , 84766, , 
2200791, 146993, 146993, , , , , 86331, , 
2201023, 147033, 147033, , , , , 85604, , 
2200444, 147173, 147173, , , , , 88390, , 
2200514, 147236, 147236, , , , , 87738, , 
5501231, 147860, 147860, , , , , 85947, , 
5501231, 147903, 147903, , , , , 88146, , 
5501231, 147906, 147906, , , , , 88147, , 
5501435, 147926, 147926, , , , , 87365, , 
5501435, 147946, 147946, , , , , 88133, , 
6201460, 148158, 148158, , , , , 89324, , 
2101247, 148384, 148384, , , , , 89036, , 
2101248, 148401, 148401, , , , , 89389, , 
2101248, 148424, 148424, , , , , 89175, , 
6201202, 148507, 148507, , , , , 89870, , 
5500468, 148553, 148553, , , , , , , 
5500468, 148593, 148593, , , , , , , 
5500468, 148616, 148616, , , , , , , 
5900153, 148839, 148839, , , , , 88989, , 
5500501, 148902, 148902, , , , , , , 
2100501, 148942, 148942, , , , , , , 
6200309, 148965, 148965, , , , , 90231, , 
6200359, 148985, 148985, , , , , 90600, , 
6200432, 149008, 149008, , , , , 90438, , 
1041215, 149048, 149048, , , , , , , 
5800064, 149486, 149486, , , , , 90129, , 
5800334, 149526, 149526, , , , , 90445, , 
5800350, 149549, 149549, , , , , 90635, , 
6801151, 149572, 149572, , , , , 89649, , 
6801151, 149589, 149589, , , , , 89591, , 
6801152, 149615, 149615, , , , , 89535, , 
6801153, 149632, 149632, , , , , 89664, , 
6801153, 149635, 149635, , , , , 89598, , 
6800188, 149655, 149655, , , , , 89485, , 
6801121, 149695, 149695, , , , , 89637, , 
6801580, 149698, 149698, , , , , 89497, , 
6800200, 149758, 149758, , , , , 89901, , 
6800102, 149781, 149781, , , , , 89907, , 
6801347, 149864, 149864, , , , , 89773, , 
1040503, 150027, 150027, , , , , 90452, , 
1700375, 150067, 150067, , , , , 90590, , 
6201191, 150090, 150090, , , , , , , 
1701430, 150107, 150107, , , , , 90384, , 
1701430, 150113, 150113, , , , , 90288, , 
2100967, 150130, 150130, , , , , 89644, , 
2100277, 150156, 150156, , , , , 89675, , 
2101159, 150173, 150173, , , , , 89625, , 
2100749, 150236, 150236, , , , , 90015, , 
2100293, 150256, 150256, , , , , 90020, , 
2100294, 150259, 150259, , , , , 90021, , 
2101170, 150299, 150299, , , , , 90531, , 
6400019, 150399, 150399, , , , , 89885, , 
6400021, 150405, 150405, , , , , 89949, , 
2101245, 150863, 150863, , , , , , , 
2100927, 150940, 150940, , , , , 90166, , 
2100380, 151023, 151023, , , , , 90308, , 
2101248, 151109, 151109, , , , , , , 
2101249, 126349, 126349, , , , , 81344, , 
5500611, 126741, 126741, , , , , 79852, , 
5500788, 126761, 126761, , , , , 79965, , 
5501004, 126784, 126784, , , , , 79484, , 
5501439, 126864, 126864, , , , , 81626, , 
5501462, 126887, 126887, , , , , 81157, , 
5501463, 126890, 126890, , , , , 81229, , 
5501493, 126907, 126907, , , , , 81854, , 
1040675, 127030, 127030, , , , , 80568, , 
1040729, 127056, 127056, , , , , 80846, , 
1040802, 127133, 127133, , , , , 80261, , 
1041488, 127156, 127156, , , , , 80464, , 
2100226, 127674, 127674, , , , , 80616, , 
2100244, 127720, 127720, , , , , 80637, , 
2100341, 127780, 127780, , , , , 81703, , 
2101072, 127823, 127823, , , , , 79693, , 
2101073, 127840, 127840, , , , , 79707, , 
2101079, 127863, 127863, , , , , 81925, , 
2101087, 127889, 127889, , , , , 79810, , 
5501217, 128235, 128235, , , , , 79679, , 
5501217, 128238, 128238, , , , , 79619, , 
5501575, 128991, 128991, , , , , 79793, , 
5501465, 129054, 129054, , , , , 82214, , 
5501465, 129071, 129071, , , , , 82199, , 
5501465, 129094, 129094, , , , , 81259, , 
2100244, 129340, 129340, , , , , 80758, , 
5501414, 129595, 129595, , , , , 80780, , 
6600163, 130093, 130093, , , , , 80178, , 
6600561, 130136, 130136, , , , , 80477, , 
6601359, 130150, 130150, , , , , 80112, , 
6600170, 130219, 130219, , , , , 80307, , 
6600175, 130276, 130276, , , , , 80366, , 
6600176, 130296, 130296, , , , , 80322, , 
6600181, 130319, 130319, , , , , 80327, , 
6601365, 130342, 130342, , , , , 81899, , 
6600567, 130379, 130379, , , , , 81907, , 
6600358, 130445, 130445, , , , , 81511, , 
6601504, 130511, 130511, , , , , 80199, , 
6600168, 132194, 132194, , , , , 80300, , 
6600168, 132211, 132211, , , , , 80288, , 
2101073, 136479, 136479, , , , , , , 
2301590, 137086, 137086, , , , , , , 
1041255, 138016, 138016, , , , , 83165, , 
1041255, 138022, 138022, , , , , 83168, , 
6200714, 138417, 138417, , , , , , , 
2301590, 141580, 141580, , , , , , , 
1041259, 141972, 141972, , , , , 83793, , 
1041233, 142038, 142038, , , , , 83870, , 
1041233, 142075, 142075, , , , , 83879, , 
1041233, 142081, 142081, , , , , 84133, , 
1041470, 142098, 142098, , , , , 83973, , 
6200969, 142221, 142221, , , , , 84271, , 
6201330, 142244, 142244, , , , , 84853, , 
6201188, 142267, 142267, , , , , 85051, , 
6201191, 142347, 142347, , , , , 85144, , 
6201214, 142367, 142367, , , , , 85844, , 
5501216, 142413, 142413, , , , , 83468, , 
5501216, 142430, 142430, , , , , 83413, , 
5501220, 142473, 142473, , , , , 83699, , 
5501225, 142513, 142513, , , , , 83755, , 
5501230, 142536, 142536, , , , , 83776, , 
5501230, 142539, 142539, , , , , 83779, , 
5501239, 142559, 142559, , , , , 83986, , 
5900970, 142579, 142579, , , , , 84246, , 
5900150, 142662, 142662, , , , , 88025, , 
1800104, 142682, 142682, , , , , 84530, , 
1801329, 142705, 142705, , , , , 86535, , 
1800826, 142762, 142762, , , , , 85449, , 
1800120, 142785, 142785, , , , , 86700, , 
1800830, 142808, 142808, , , , , 87289, , 
6700952, 142908, 142908, , , , , 86132, , 
6700955, 142928, 142928, , , , , 86139, , 
6700742, 142931, 142931, , , , , 85314, , 
6700957, 142954, 142954, , , , , 85394, , 
6700960, 142971, 142971, , , , , 85402, , 
6700340, 143011, 143011, , , , , 87980, , 
2100636, 143100, 143100, , , , , 83426, , 
2100636, 143120, 143120, , , , , 83490, , 
2100636, 143163, 143163, , , , , 83716, , 
2101503, 143180, 143180, , , , , 83558, , 
2101503, 143200, 143200, , , , , 83505, , 
2101503, 143203, 143203, , , , , 83455, , 
2100621, 143246, 143246, , , , , 84019, , 
2100621, 143323, 143323, , , , , 84041, , 
6100418, 143741, 143741, , , , , 86452, , 
6100452, 143767, 143767, , , , , 86602, , 
6100489, 143787, 143787, , , , , 86611, , 
1040538, 144202, 144202, , , , , 87862, , 
4300071, 144474, 144474, , , , , 84508, , 
4301284, 144551, 144551, , , , , 86983, , 
4301284, 144554, 144554, , , , , 85834, , 
4301041, 144574, 144574, , , , , 86812, , 
4301042, 144577, 144577, , , , , 88551, , 
4300556, 144594, 144594, , , , , 87398, , 
4301452, 144620, 144620, , , , , 87402, , 
4300095, 144677, 144677, , , , , 87414, , 
4301440, 144697, 144697, , , , , 87418, , 
4301060, 144720, 144720, , , , , 88194, , 
4301401, 144743, 144743, , , , , 87429, , 
4300101, 144766, 144766, , , , , 87345, , 
4301484, 144786, 144786, , , , , 86084, , 
4300437, 144823, 144823, , , , , 87614, , 
4300034, 144869, 144869, , , , , 87744, , 
1701600, 144946, 144946, , , , , , , 
1701108, 145015, 145015, , , , , 87198, , 
1701117, 145092, 145092, , , , , 87055, , 
1700375, 145135, 145135, , , , , 88334, , 
6200578, 145178, 145178, , , , , 84200, , 
6200972, 145218, 145218, , , , , 84216, , 
6200603, 145261, 145261, , , , , 85811, , 
6200798, 145307, 145307, , , , , 84981, , 
6200632, 145387, 145387, , , , , 85695, , 
6200632, 145390, 145390, , , , , 85697, , 
6200815, 145407, 145407, , , , , 85703, , 
6200641, 145410, 145410, , , , , 85874, , 
6200647, 145453, 145453, , , , , 85886, , 
